"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2001","2001","PC","Percentage","0","Units",,,14.7,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,24.5,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,9.2,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,31.9,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,10.6,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,19.2,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,9.4,,
"KOR","Korea","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,8.5,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2006","2006","PC","Percentage","0","Units",,,7.2,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,11.9,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,7.7,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,6.8,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,9.6,,
